"Frame","Lat","Lon","Alt","TerrainElevation","Yaw","Pitch","Roll","GimYaw","GimPitch","GimRoll","Timestamp","BoundingBoxClass","BoundingBoxCentre_X","BoundingBoxCentre_Y","BoundingBox_Width%","BoundingBox_Height%"
"1","","","","","","","","","","","","1","0.745573","0.815972","0.0515625","0.0837963"
"2","","","","","","","","","","","","1","0.742708","0.799306","0.0520833","0.0976852"
"3","","","","","","","","","","","","1","0.734896","0.774769","0.0463542","0.0791667"
"4","","","","","","","","","","","","1","0.725521","0.751852","0.046875","0.0814815"
"5","","","","","","","","","","","","1","0.717057","0.722685","0.0554687","0.087037"
"5","","","","","","","","","","","","1","0.130859","0.831944","0.0513021","0.0962963"
"6","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.705339","0.688889","0.0549479","0.0925926"
"7","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.692578","0.654167","0.0502604","0.0935185"
"8","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.680859","0.621991","0.0507812","0.0837963"
"9","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.667318","0.590278","0.0523437","0.0898148"
"10","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.653516","0.552083","0.0481771","0.0856481"
"11","50.4261505","12.529836","893.0","829.0015258789062","155.02","21.16","8.95","141.83","-34.27","0.0","0.3670333333333333","1","0.638932","0.515278","0.0460938","0.0787037"
"12","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.624349","0.479167","0.0460938","0.0777778"
"14","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.59375","0.393056","0.0505208","0.0861111"
"15","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.888932","0.953704","0.0658854","0.0925926"
"15","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.76276","0.842361","0.0515625","0.0884259"
"15","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.576563","0.347917","0.0520833","0.0865741"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.869401","0.888889","0.0653646","0.109259"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.748958","0.778704","0.0541667","0.0888889"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.798568","0.690972","0.0632813","0.111574"
"16","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.5625","0.302315","0.05","0.087963"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.852083","0.818981","0.0619792","0.0953704"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.963281","0.712269","0.046875","0.0773148"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.736589","0.720139","0.0533854","0.0912037"
"17","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.783464","0.634028","0.0653646","0.113426"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.945964","0.64375","0.0419271","0.074537"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.720964","0.662269","0.0518229","0.0893519"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.838151","0.754398","0.0565104","0.099537"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.772266","0.576852","0.0601562","0.103704"
"18","50.4261503","12.5298354","893.0","829.0015258789062","167.86","15.57","5.93","150.72","-44.34","0.0","0.6006","1","0.567969","0.591204","0.0598958","0.110185"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.926823","0.578935","0.0421875","0.074537"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.823568","0.690509","0.0591146","0.0976852"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.754948","0.518287","0.0635417","0.106019"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.556901","0.540741","0.0580729","0.103704"
"19","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.707682","0.615046","0.0549479","0.0958333"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.808594","0.629398","0.0635417","0.103241"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.910677","0.516898","0.04375","0.0791667"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.544531","0.503009","0.05625","0.113426"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.697526","0.558565","0.0518229","0.0949074"
"20","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.741536","0.466435","0.0648438","0.115278"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.892839","0.455787","0.0471354","0.0810185"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.795833","0.576389","0.0583333","0.0944444"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.726042","0.412731","0.0671875","0.116204"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.680729","0.511574","0.0520833","0.0907407"
"21","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.530339","0.461343","0.0643229","0.121759"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.785677","0.522685","0.0588542","0.0907407"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.877865","0.398843","0.0494792","0.0865741"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.673437","0.461343","0.0536458","0.0884259"
"22","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.519271","0.419676","0.0640625","0.129167"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.771745","0.466898","0.0638021","0.106019"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.86276","0.33912","0.0494792","0.0856481"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.69974","0.31412","0.0666667","0.1125"
"23","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.658464","0.415278","0.0554687","0.0972222"
"24","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.756771","0.415741","0.0635417","0.101852"
"24","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.647266","0.371991","0.0559896","0.0930556"
"24","50.4261505","12.5298346","893.0","829.0015258789062","-178.06","8.36","-0.48","161.72","-57.44","0.0","0.8008000000000001","1","0.846484","0.285185","0.0497396","0.0796296"
"25","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.745443","0.369676","0.0638021","0.099537"
"26","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.734375","0.321759","0.0651042","0.108333"
"26","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.621094","0.286111","0.0578125","0.0972222"
"26","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.816927","0.177083","0.0505208","0.0856481"
"27","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.719922","0.277778","0.0658854","0.111111"
"28","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.710417","0.230324","0.059375","0.0976852"
"28","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.595443","0.210648","0.0565104","0.0953704"
"29","50.4261509","12.5298336","893.0","829.0015258789062","-162.95","5.32","-0.37","174.98","-69.06","0.0","0.9676333333333333","1","0.697526","0.188657","0.0643229","0.104167"
"30","50.4261513","12.5298327","893.0","829.0015258789062","-148.16","2.88","0.12","-170.83","-77.92","0.0","1.1011","1","0.684635","0.144676","0.0614583","0.103241"
"31","50.4261513","12.5298327","893.0","829.0015258789062","-148.16","2.88","0.12","-170.83","-77.92","0.0","1.1011","1","0.667969","0.108796","0.0635417","0.106481"
"32","50.4261513","12.5298327","893.0","829.0015258789062","-148.16","2.88","0.12","-170.83","-77.92","0.0","1.1011","1","0.65625","0.0680556","0.0598958","0.0990741"
"33","50.4261513","12.5298327","893.0","829.0015258789062","-148.16","2.88","0.12","-170.83","-77.92","0.0","1.1011","1","0.641797","0.0414352","0.0617188","0.0828704"
"42","50.4261524","12.5298299","893.0","829.0015258789062","-119.17","-5.83","13.11","-142.19","-87.15","0.0","1.6016000000000001","1","0.53125","0.953472","0.0572917","0.0930556"
"43","50.4261524","12.5298299","893.0","829.0015258789062","-119.17","-5.83","13.11","-142.19","-87.15","0.0","1.6016000000000001","1","0.539844","0.943287","0.0541667","0.0986111"
"44","50.4261524","12.5298299","893.0","829.0015258789062","-119.17","-5.83","13.11","-142.19","-87.15","0.0","1.6016000000000001","1","0.548047","0.934491","0.0528646","0.0930556"
"46","50.4261524","12.5298299","893.0","829.0015258789062","-119.17","-5.83","13.11","-142.19","-87.15","0.0","1.6016000000000001","1","0.566927","0.917593","0.0552083","0.0916667"
"47","50.4261524","12.5298299","893.0","829.0015258789062","-119.17","-5.83","13.11","-142.19","-87.15","0.0","1.6016000000000001","1","0.574219","0.907639","0.0578125","0.0939815"
"48","50.4261524","12.5298299","893.0","829.0015258789062","-119.17","-5.83","13.11","-142.19","-87.15","0.0","1.6016000000000001","1","0.58151","0.899769","0.0536458","0.0958333"
"49","50.4261535","12.5298267","893.0","829.0015258789062","-104.42","-14.1","19.4","-128.06","-88.16","0.0","1.6683333333333334","1","0.589323","0.891898","0.0546875","0.0986111"
